20	0.010057
30	0.009153
40	0.004499
50	0.003052
60	0.011388
70	0.019838
80	0.027571
90	0.034204
100	0.053420
200	0.043626
300	0.033056
400	0.025683
500	0.020003
600	0.016372
700	0.013254
800	0.011375
900	0.009484
1000	0.009484
2000	0.003324
3000	0.003103
4000	0.003802
5000	0.004945
6000	0.006537
7000	0.008687
8000	0.011529
9000	0.015215
10000	0.019915
11000	0.025808
12000	0.033107
13000	0.042046
14000	0.052902
15000	0.066006
16000	0.081751
17000	0.100603
18000	0.123146
19000	0.150104
20000	0.182368
21000	0.221146
22000	0.267909
23000	0.324750
24000	0.394361
25000	0.480523
