0.0227919	0.576973
0.0911668	2.19466
0.205124	4.57394
0.364665	7.40699
0.569789	10.4666
0.820495	13.6255
1.11678	16.8232
1.45866	20.0338
1.84611	23.2468
2.27915	26.4581
2.75777	29.6665
3.28197	32.8716
3.85176	36.0738
4.46712	39.2732
5.12807	42.4701
5.83461	45.6649
6.58672	48.8578
7.38442	52.0491
8.2277	55.2388
9.11656	58.4037
10.051	55.91
11.031	46.9627
12.0566	44.8353
13.1277	44.1438
14.2445	44.0856
15.4068	44.3834
16.6147	44.9074
17.8682	45.5864
19.1673	46.3777
20.512	47.2532
21.9022	48.194
23.338	49.1868
24.8194	50.2215
26.3464	51.2909
27.9189	52.3892
29.5371	53.5119
31.2008	54.6556
32.9101	55.8172
34.665	56.9945
36.4655	58.1854
38.3114	59.3885
40.203	60.6022
