20	0.010194
30	0.009275
40	0.004595
50	0.003174
60	0.011504
70	0.019979
80	0.027707
90	0.034300
100	0.053433
200	0.043752
300	0.033112
400	0.025854
500	0.020110
600	0.016591
700	0.013418
800	0.011647
900	0.009712
1000	0.009712
2000	0.004000
3000	0.004203
4000	0.005258
5000	0.006706
6000	0.008541
7000	0.010858
8000	0.013792
9000	0.017502
10000	0.022173
11000	0.027991
12000	0.035175
13000	0.043956
14000	0.054617
15000	0.067466
16000	0.082881
17000	0.101302
18000	0.123281
19000	0.149496
20000	0.180766
21000	0.218191
22000	0.263097
23000	0.317380
24000	0.383457
25000	0.464634
